Date,Open,High,Low,Close,Adj Close,Volume,Target
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,153.6306915283203,22622100,-1.2451749849331062
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,151.71774291992188,21116200,0.2584817013810081
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,152.10989379882812,20813700,-0.9117757400316062
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,150.72296142578125,21634100,1.59283822672307
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,153.12374877929688,27746500,1.2492972988635387
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,155.03672790527344,21385000,-0.46270591458128507
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,154.31936645507812,20725900,1.202431192165987
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,156.17495727539062,21626500,-0.7043078791535318
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,155.07498168945312,23477400,0.6476208976417874
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,156.07925415039062,21417900,1.8323358422406733
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,158.93917846679688,23865400,0.5596725912127454
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,159.82872009277344,34371700,-0.35907006678619346
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,159.25482177734375,29517200,-0.480482313368058
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,158.4896240234375,24138800,0.615572897553851
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,159.46522521972656,19680800,-1.0076822950272901
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,157.85838317871094,24918100,-1.6723186010138114
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,155.21844482421875,32078100,1.9595809455823066
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,158.26010131835938,24899900,1.559281075533403
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,160.72779846191406,34754500,2.8207603442907514
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,165.26156616210938,51597500,-1.4758670388782091
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,162.822509765625,36142700,2.43788360420083
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,166.79193115234375,30107000,3.291656195463699
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,172.2821502685547,36433300,-0.1221414760532169
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,172.07176208496094,39186300,2.07338027397288
